station_id,issue_time,air_temperature_mean_d0_3,precipitation_sum_d0_3,cloud_cover_mean_d0_3,wind_speed_mean_d0_3,wind_gust_max_d0_3,sst_mean_d0_3,wave_height_mean_d0_3,current_velocity_mean_d0_3,sea_level_range_d0_3,air_temperature_mean_d3_5,precipitation_sum_d3_5,cloud_cover_mean_d3_5,wind_speed_mean_d3_5,wind_gust_max_d3_5,sst_mean_d3_5,wave_height_mean_d3_5,current_velocity_mean_d3_5,sea_level_range_d3_5,weather_url,marine_url,decision_time,sst_at_issue,wave_height_at_issue,current_velocity_at_issue,sea_level_at_issue
chonburi_03,2026-07-16T20:04:25.515776Z,29.1736,1.6,83.0556,5.6114,10.4,30.0889,0.4014,0.4458,3.14,29.1361,10.1,98.1389,5.5893,11.9,30.4042,0.4303,0.3083,1.74,https://api.open-meteo.com/v1/forecast?latitude=13.29&longitude=100.88499999999999&timezone=UTC&forecast_days=7&cell_selection=sea&hourly=temperature_2m%2Cprecipitation%2Ccloud_cover%2Cwind_speed_10m%2Cwind_gusts_10m&wind_speed_unit=ms,https://marine-api.open-meteo.com/v1/marine?latitude=13.29&longitude=100.88499999999999&timezone=UTC&forecast_days=7&cell_selection=sea&hourly=sea_surface_temperature%2Cwave_height%2Cocean_current_velocity%2Csea_level_height_msl,,,,,
chonburi_03,2026-07-16T20:22:33.038344Z,29.1736,1.6,83.0556,5.6114,10.4,30.0889,0.4014,0.4458,3.14,29.1361,10.1,98.1389,5.5893,11.9,30.4042,0.4303,0.3083,1.74,https://api.open-meteo.com/v1/forecast?latitude=13.29&longitude=100.88499999999999&timezone=UTC&forecast_days=7&cell_selection=sea&hourly=temperature_2m%2Cprecipitation%2Ccloud_cover%2Cwind_speed_10m%2Cwind_gusts_10m&wind_speed_unit=ms,https://marine-api.open-meteo.com/v1/marine?latitude=13.29&longitude=100.88499999999999&timezone=UTC&forecast_days=7&cell_selection=sea&hourly=sea_surface_temperature%2Cwave_height%2Cocean_current_velocity%2Csea_level_height_msl,,,,,
chonburi_03,2026-06-14T00:00:00Z,28.9181,11.0,90.0278,3.4636,9.8,,,,,27.6986,18.6,97.7917,3.2782,9.7,,,,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=13.29&longitude=100.88499999999999&hourly=temperature_2m%2Cprecipitation%2Ccloud_cover%2Cwind_speed_10m%2Cwind_gusts_10m&wind_speed_unit=ms&timezone=UTC&forecast_days=7&models=ecmwf_ifs025&run=2026-06-14T00%3A00,https://marine-api.open-meteo.com/v1/marine?latitude=13.29&longitude=100.88499999999999&hourly=sea_surface_temperature%2Cwave_height%2Cocean_current_velocity%2Csea_level_height_msl&start_date=2026-06-14&end_date=2026-06-14&timezone=UTC&cell_selection=sea,2026-06-14T11:54:38.637000Z,31.2,0.34,0.2,1.95
chonburi_03,2026-06-24T00:00:00Z,29.5681,25.2,72.3611,3.3886,11.6,,,,,28.3681,30.8,95.9167,3.4757,12.4,,,,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=13.29&longitude=100.88499999999999&hourly=temperature_2m%2Cprecipitation%2Ccloud_cover%2Cwind_speed_10m%2Cwind_gusts_10m&wind_speed_unit=ms&timezone=UTC&forecast_days=7&models=ecmwf_ifs025&run=2026-06-24T00%3A00,https://marine-api.open-meteo.com/v1/marine?latitude=13.29&longitude=100.88499999999999&hourly=sea_surface_temperature%2Cwave_height%2Cocean_current_velocity%2Csea_level_height_msl&start_date=2026-06-24&end_date=2026-06-24&timezone=UTC&cell_selection=sea,2026-06-24T11:54:38.678000Z,31.7,0.2,0.4,1.14
chonburi_03,2026-07-14T00:00:00Z,27.7708,11.7,98.7361,4.6649,12.4,,,,,28.7764,0.0,85.5972,3.8083,11.5,,,,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=13.29&longitude=100.88499999999999&hourly=temperature_2m%2Cprecipitation%2Ccloud_cover%2Cwind_speed_10m%2Cwind_gusts_10m&wind_speed_unit=ms&timezone=UTC&forecast_days=7&models=ecmwf_ifs025&run=2026-07-14T00%3A00,https://marine-api.open-meteo.com/v1/marine?latitude=13.29&longitude=100.88499999999999&hourly=sea_surface_temperature%2Cwave_height%2Cocean_current_velocity%2Csea_level_height_msl&start_date=2026-07-14&end_date=2026-07-14&timezone=UTC&cell_selection=sea,2026-07-14T11:54:36.906000Z,30.1,0.86,0.0,2.22
chonburi_03,2026-07-16T20:56:48.518537Z,29.1736,1.6,83.0556,5.6114,10.4,,,,,29.1361,10.1,98.1389,5.5893,11.9,,,,,https://api.open-meteo.com/v1/forecast?latitude=13.29&longitude=100.88499999999999&timezone=UTC&forecast_days=7&cell_selection=sea&hourly=temperature_2m%2Cprecipitation%2Ccloud_cover%2Cwind_speed_10m%2Cwind_gusts_10m&wind_speed_unit=ms,https://marine-api.open-meteo.com/v1/marine?latitude=13.29&longitude=100.88499999999999&timezone=UTC&forecast_days=7&cell_selection=sea&hourly=sea_surface_temperature%2Cwave_height%2Cocean_current_velocity%2Csea_level_height_msl,,29.9,0.66,0.2,1.24
